Month_Year;Province;City;Fuel_Type;Petrol_Price_ZAR_Per_Litre;Diesel_Price_ZAR_Per_Litre;Bread_Price_ZAR;Maize_Meal_10kg_ZAR;Cooking_Oil_2L_ZAR;Chicken_Portions_1kg_ZAR;Milk_1L_ZAR;Eggs_6pack_ZAR;Transport_Minibus_Fare_ZAR;CPI_Index;Unemployment_Rate_Pct;Notes
2021/11/01;KwaZulu-Natal;Durban;ULP 95;19.12;16.80;15.49;71.99;42.99;55.99;18.49;21.49;12.00;121.5;35.3;
2021/12/01;Gauteng;Johannesburg;ULP 95;19.52;17.14;16.49;74.99;45.99;62.99;19.49;24.49;13.00;122.2;35.3;December festive premium
2021/12/01;Limpopo;Polokwane;ULP 95;19.68;17.26;16.99;76.99;47.99;64.99;19.99;24.99;11.00;122.2;35.3;
2021/12/01;Western Cape;Cape Town;ULP 95;19.52;17.14;17.49;78.99;46.99;65.99;20.49;26.49;15.00;122.2;35.3;
2021/12/01;KwaZulu-Natal;Durban;ULP 95;19.52;17.14;15.99;73.99;44.99;60.99;19.49;22.99;12.50;122.2;35.3;
2022/01/01;Gauteng;Johannesburg;ULP 95;19.84;17.41;16.49;74.99;45.99;62.99;19.49;24.49;13.00;123.0;35.7;
2022/01/01;Limpopo;Polokwane;ULP 95;20.00;17.53;16.99;76.99;47.99;64.99;19.99;24.99;11.00;123.0;35.7;
2022/01/01;Western Cape;Cape Town;ULP 95;19.84;17.41;17.49;78.99;46.99;65.99;20.49;26.49;15.00;123.0;35.7;
2022/01/01;KwaZulu-Natal;Durban;ULP 95;19.84;17.41;15.99;73.99;44.99;60.99;19.49;22.99;12.50;123.0;35.7;
2022/02/01;Gauteng;Johannesburg;ULP 95;20.48;17.98;16.99;75.99;46.99;63.99;19.99;24.99;13.00;123.9;35.7;
2022/02/01;Limpopo;Polokwane;ULP 95;20.65;18.10;17.49;77.99;48.99;65.99;20.49;25.49;11.00;123.9;35.7;
2022/02/01;Western Cape;Cape Town;ULP 95;20.48;17.98;17.99;79.99;47.99;66.99;20.99;26.99;15.00;123.9;35.7;
2022/02/01;KwaZulu-Natal;Durban;ULP 95;20.48;17.98;16.49;74.99;45.99;61.99;19.99;23.49;12.50;123.9;35.7;
2022/03/01;Gauteng;Johannesburg;ULP 95;21.60;99.85;16.99;76.99;47.99;64.99;20.49;25.49;13.50;124.9;35.7;Diesel price outlier - likely data entry error (cents entered as rands?)
2022/03/01;Limpopo;Polokwane;ULP 95;21.78;19.12;17.49;78.99;49.99;66.99;20.99;25.99;11.50;124.9;35.7;
2022/03/01;Western Cape;Cape Town;ULP 95;21.60;18.98;17.99;80.99;48.99;67.99;21.49;27.49;15.50;124.9;35.7;
2022/03/01;KwaZulu-Natal;Durban;ULP 95;21.60;18.98;16.49;75.99;46.99;62.99;20.49;23.99;13.00;124.9;35.7;
2022/04/01;Gauteng;Johannesburg;ULP 95;23.38;20.52;17.49;77.99;48.99;65.99;20.49;25.49;13.50;126.1;35.3;Russia-Ukraine war impact on fuel
2022/04/01;Limpopo;Polokwane;ULP 95;23.57;20.65;17.99;79.99;50.99;67.99;20.99;25.99;11.50;126.1;35.3;
2022/04/01;Western Cape;Cape Town;ULP 95;23.38;20.52;18.49;81.99;49.99;68.99;21.49;27.49;15.50;126.1;35.3;
2022/04/01;KwaZulu-Natal;Durban;ULP 95;23.38;20.52;16.99;76.99;47.99;63.99;20.49;24.49;13.00;126.1;35.3;
2022/05/01;Gauteng;Johannesburg;ULP 95;23.38;20.52;17.49;77.99;48.99;65.99;20.49;25.49;13.50;127.1;35.3;
2022/05/01;Limpopo;Polokwane;ULP 95;23.57;20.65;17.99;79.99;50.99;67.99;20.99;25.99;11.50;127.1;35.3;
2022/05/01;Western Cape;Cape Town;ULP 95;23.38;20.52;18.49;81.99;49.99;68.99;21.49;27.49;15.50;127.1;35.3;
2022/05/01;KwaZulu-Natal;Durban;ULP 95;23.38;20.52;16.99;76.99;47.99;63.99;20.49;24.49;13.00;127.1;35.3;
2022/06/01;Gauteng;Johannesburg;ULP 95;25.99;22.98;17.99;79.99;50.99;67.99;21.49;26.49;14.00;128.6;33.9;Record high fuel price
2022/06/01;Limpopo;Polokwane;ULP 95;26.19;23.12;18.49;81.99;52.99;69.99;21.99;26.99;12.00;128.6;33.9;
2022/06/01;Western Cape;cape town;ULP 95;25.99;22.98;18.99;83.99;51.99;70.99;22.49;28.49;16.00;128.6;33.9;City not capitalised
2022/06/01;KwaZulu-Natal;Durban;ULP 95;25.99;22.98;17.49;78.99;49.99;65.99;21.49;25.49;13.50;128.6;33.9;
2022/07/01;Gauteng;Johannesburg;ULP 95;26.32;23.27;17.99;79.99;51.99;67.99;21.49;26.49;14.00;129.3;33.9;
2022/07/01;Limpopo;Polokwane;ULP 95;;23.41;18.49;81.99;52.99;69.99;21.99;26.99;12.00;129.3;33.9;Missing petrol price
2022/07/01;Western Cape;Cape Town;ULP 95;26.32;23.27;18.99;83.99;51.99;71.99;22.49;28.49;16.00;129.3;33.9;
2022/07/01;KwaZulu-Natal;Durban;ULP 95;26.32;23.27;17.49;78.99;49.99;65.99;21.49;25.49;13.50;129.3;33.9;
2022/08/01;Gauteng;Johannesburg;ULP 95;24.17;21.38;17.99;80.99;51.99;68.99;21.99;26.49;14.00;130.0;33.9;Fuel decrease after record high
2022/08/01;Limpopo;Polokwane;ULP 95;24.35;21.51;18.49;82.99;53.99;70.99;22.49;26.99;12.00;130.0;33.9;
2022/08/01;Western Cape;Cape Town;ULP 95;24.17;21.38;18.99;84.99;52.99;72.99;22.99;28.99;16.00;130.0;33.9;
2022/08/01;KwaZulu-Natal;Durban;ULP 95;24.17;21.38;17.49;79.99;50.99;66.99;21.99;25.99;13.50;130.0;33.9;
2022/09/01;Gauteng;Johannesburg;ULP 95;23.59;20.88;18.49;80.99;52.99;69.99;22.49;26.99;14.00;130.8;33.9;
2022/09/01;Limpopo;Polokwane;ULP 95;23.77;21.01;18.99;82.99;54.99;71.99;22.99;27.49;12.00;130.8;33.9;
2022/09/01;Western Cape;Cape Town;ULP 95;23.59;20.88;19.49;84.99;53.99;72.99;23.49;29.49;16.00;130.8;33.9;
2022/09/01;KwaZulu-Natal;Durban;ULP 95;23.59;20.88;17.99;79.99;51.99;67.99;22.49;26.49;13.50;130.8;33.9;
2022/10/01;Gauteng;Johannesburg;ULP 95;22.80;20.19;18.49;82.99;53.99;70.99;22.49;27.49;14.50;131.6;33.5;
2022/10/01;Limpopo;Polokwane;ULP 95;22.98;20.32;18.99;84.99;55.99;72.99;22.99;27.99;12.50;131.6;33.5;
2022/10/01;Western Cape;Cape Town;ULP 95;22.80;20.19;19.49;86.99;54.99;73.99;23.49;29.99;16.50;131.6;33.5;
2022/10/01;KwaZulu-Natal;Durban;ULP 95;22.80;20.19;17.99;81.99;52.99;68.99;22.49;26.99;14.00;131.6;33.5;
2022/11/01;Gauteng;Johannesburg;ULP 95;21.80;19.30;18.99;82.99;53.99;70.99;22.99;27.49;14.50;132.3;33.5;
2022/11/01;Limpopo;Polokwane;ULP 95;21.98;19.43;19.49;84.99;55.99;72.99;23.49;27.99;12.50;132.3;33.5;
2022/11/01;Western Cape;Cape Town;ULP 95;21.80;19.30;19.99;86.99;54.99;74.99;23.99;30.49;16.50;132.3;33.5;
2022/11/01;KwaZulu-Natal;Durban;ULP 95;21.80;19.30;18.49;81.99;52.99;69.99;22.99;27.49;14.00;132.3;33.5;
2022/12/01;Gauteng;Johannesburg;ULP 95;21.60;19.12;19.49;84.99;55.99;75.99;23.49;28.99;14.50;132.9;33.5;
2022/12/01;Limpopo;Polokwane;ULP 95;21.78;19.25;19.99;86.99;57.99;77.99;23.99;29.49;12.50;132.9;33.5;
2022/12/01;Western Cape;Cape Town;ULP 95;21.60;19.12;20.49;88.99;56.99;78.99;24.49;31.49;17.00;132.9;33.5;
2022/12/01;KwaZulu-Natal;Durban;ULP 95;21.60;19.12;18.99;83.99;54.99;74.99;23.99;28.49;14.50;132.9;33.5;
2023/01/01;Gauteng;Johannesburg;ULP 95;21.09;18.68;19.49;84.99;55.99;75.99;23.99;28.99;15.00;133.8;32.9;
2023/01/01;Limpopo;Polokwane;ULP 95;21.27;18.81;19.99;86.99;57.99;77.99;24.49;29.49;13.00;133.8;32.9;
2023/01/01;Western Cape;Cape Town;ULP 95;21.09;18.68;20.49;88.99;56.99;78.99;24.99;31.49;17.00;133.8;32.9;
2023/01/01;KwaZulu-Natal;Durban;ULP 95;21.09;18.68;18.99;83.99;54.99;74.99;24.49;28.49;15.00;133.8;32.9;
2023/02/01;Gauteng;Johannesburg;ULP 95;21.08;18.66;19.49;85.99;56.99;76.99;24.49;29.49;15.00;134.6;32.9;
2023/02/01;Limpopo;Polokwane;ULP 95;21.26;18.79;19.99;87.99;58.99;78.99;24.99;29.99;13.00;134.6;32.9;
2023/02/01;Western Cape;Cape Town;ULP 95;21.08;18.66;20.49;89.99;57.99;79.99;25.49;31.99;17.00;134.6;32.9;
2023/02/01;KwaZulu-Natal;Durban;ULP 95;21.08;18.66;18.99;84.99;55.99;75.99;24.99;28.99;15.00;134.6;32.9;
2023/03/01;Gauteng;Johannesburg;ULP 95;22.38;19.82;19.99;85.99;57.99;76.99;24.99;29.49;15.00;135.2;32.9;
2023/03/01;Limpopo;Polokwane;ULP 95;22.57;19.95;20.49;87.99;59.99;78.99;25.49;29.99;13.00;135.2;32.9;
2023/03/01;Western Cape;Cape Town;ULP 95;22.38;19.82;20.99;89.99;58.99;79.99;25.99;31.99;17.00;135.2;32.9;
2023/03/01;KwaZulu-Natal;Durban;ULP 95;22.38;19.82;19.49;84.99;56.99;75.99;25.49;29.49;15.50;135.2;32.9;
2023/04/01;Gauteng;Johannesburg;ULP 95;22.55;19.97;19.99;86.99;57.99;77.99;24.99;29.49;15.00;136.0;32.9;
2023/04/01;Limpopo;Polokwane;ULP 95;22.74;20.10;20.49;88.99;59.99;79.99;25.49;29.99;13.00;136.0;32.9;
2023/04/01;Western Cape;Cape Town;ULP 95;22.55;19.97;20.99;90.99;58.99;80.99;25.99;31.99;17.00;136.0;32.9;
2023/04/01;KwaZulu-Natal;Durban;ULP 95;22.55;19.97;19.49;85.99;56.99;76.99;25.49;29.49;15.50;136.0;32.9;
2023/04/01;Gauteng;Johannesburg;ULP 95;22.55;19.97;19.99;86.99;57.99;77.99;24.99;29.49;15.00;136.0;32.9;DUPLICATE
2023/05/01;Gauteng;Johannesburg;ULP 95;22.67;20.08;20.49;87.99;58.99;78.99;25.49;29.99;15.50;136.8;32.9;
2023/05/01;Limpopo;Polokwane;ULP 95;22.86;20.21;20.99;89.99;60.99;80.99;25.99;30.49;13.50;136.8;32.9;
2023/05/01;Western Cape;Cape Town;ULP 95;22.67;20.08;21.49;91.99;59.99;81.99;26.49;32.49;17.50;136.8;32.9;
2023/05/01;KwaZulu-Natal;Durban;ULP 95;22.67;20.08;19.99;86.99;57.99;77.99;25.99;29.99;16.00;136.8;32.9;
2023/06/01;Gauteng;Johannesburg;ULP 95;21.89;19.39;20.49;88.99;59.99;79.99;25.99;30.49;15.50;137.6;32.6;
2023/06/01;Limpopo;Polokwane;ULP 95;22.08;19.52;20.99;90.99;61.99;81.99;26.49;30.99;13.50;137.6;32.6;
2023/06/01;Western Cape;Cape Town;ULP 95;21.89;19.39;21.49;92.99;60.99;82.99;26.99;32.99;17.50;137.6;32.6;
2023/06/01;KwaZulu-Natal;Durban;ULP 95;21.89;19.39;19.99;87.99;58.99;78.99;26.49;30.49;16.00;137.6;32.6;
2023/07/01;Gauteng;Johannesburg;ULP 95;22.32;19.78;20.49;88.99;59.99;79.99;25.99;30.49;15.50;138.3;32.6;
2023/07/01;Limpopo;POLOKWANE;ULP 95;22.51;19.91;20.99;90.99;61.99;81.99;26.49;30.99;13.50;138.3;32.6;City uppercase inconsistency
2023/07/01;Western Cape;Cape Town;ULP 95;22.32;19.78;21.49;92.99;60.99;82.99;26.99;32.99;17.50;138.3;32.6;
2023/07/01;KwaZulu-Natal;Durban;ULP 95;22.32;19.78;19.99;87.99;58.99;78.99;26.49;30.49;16.00;138.3;32.6;
2023/08/01;Gauteng;Johannesburg;ULP 95;23.10;20.48;20.99;89.99;60.99;81.99;26.49;30.99;16.00;138.9;32.1;
2023/08/01;Limpopo;Polokwane;ULP 95;23.29;20.61;21.49;91.99;62.99;83.99;26.99;31.49;14.00;138.9;32.1;
2023/08/01;Western Cape;Cape Town;ULP 95;23.10;20.48;21.99;93.99;61.99;84.99;27.49;33.49;18.00;138.9;32.1;
2023/08/01;KwaZulu-Natal;Durban;ULP 95;23.10;20.48;20.49;88.99;59.99;79.99;26.99;31.49;16.50;138.9;32.1;
2023/09/01;Gauteng;Johannesburg;ULP 95;23.58;20.91;20.99;89.99;60.99;81.99;26.99;31.49;16.00;139.6;32.1;
2023/09/01;Limpopo;Polokwane;ULP 95;23.78;21.05;21.49;91.99;62.99;83.99;27.49;31.99;14.00;139.6;32.1;
2023/09/01;Western Cape;Cape Town;ULP 95;23.58;20.91;21.99;93.99;61.99;84.99;27.99;33.99;18.00;139.6;32.1;
2023/09/01;KwaZulu-Natal;Durban;ULP 95;23.58;20.91;20.49;88.99;59.99;80.99;27.49;31.99;16.50;139.6;32.1;
2023/10/01;Gauteng;Johannesburg;ULP 95;21.97;19.47;21.49;90.99;62.99;83.99;27.49;31.99;16.00;140.4;32.1;
2023/10/01;Limpopo;Polokwane;ULP 95;22.16;19.60;21.99;92.99;64.99;85.99;27.99;32.49;14.00;140.4;32.1;
2023/10/01;Western Cape;Cape Town;ULP 95;21.97;19.47;22.49;94.99;63.99;86.99;28.49;34.49;18.00;140.4;32.1;
2023/10/01;KwaZulu-Natal;Durban;ULP 95;21.97;19.47;20.99;89.99;61.99;82.99;27.99;32.49;16.50;140.4;32.1;
2023/11/01;Gauteng;Johannesburg;ULP 95;21.18;18.77;21.49;91.99;62.99;83.99;27.99;32.49;16.00;141.1;32.1;
2023/11/01;Limpopo;Polokwane;ULP 95;21.37;18.90;21.99;93.99;64.99;85.99;28.49;32.99;14.00;141.1;32.1;
2023/11/01;Western Cape;Cape Town;ULP 95;21.18;18.77;22.49;95.99;63.99;86.99;28.99;34.99;18.50;141.1;32.1;
2023/11/01;KwaZulu-Natal;Durban;ULP 95;21.18;18.77;20.99;90.99;61.99;83.99;28.49;32.99;16.50;141.1;32.1;
2023/12/01;Gauteng;Johannesburg;ULP 95;21.40;18.96;21.99;92.99;63.99;88.99;28.49;33.49;16.50;141.8;32.1;
2023/12/01;Limpopo;Polokwane;ULP 95;21.59;19.09;22.49;94.99;65.99;90.99;28.99;33.99;14.50;141.8;32.1;
2023/12/01;Western Cape;Cape Town;ULP 95;21.40;18.96;22.99;96.99;64.99;91.99;29.49;35.99;18.50;141.8;32.1;
2023/12/01;KwaZulu-Natal;Durban;ULP 95;21.40;18.96;21.49;91.99;62.99;87.99;28.99;33.99;17.00;141.8;32.1;
2024/01/01;Gauteng;Johannesburg;ULP 95;21.63;19.16;21.99;93.99;64.99;88.99;28.99;33.49;16.50;142.5;32.9;
2024/01/01;Limpopo;Polokwane;ULP 95;21.82;19.29;22.49;95.99;66.99;90.99;29.49;33.99;14.50;142.5;32.9;
2024/01/01;Western Cape;Cape Town;ULP 95;21.63;19.16;22.99;97.99;65.99;91.99;29.99;35.99;18.50;142.5;32.9;
2024/01/01;KwaZulu-Natal;Durban;ULP 95;21.63;19.16;21.49;92.99;63.99;87.99;29.49;33.99;17.00;142.5;32.9;
2024/02/01;Gauteng;Johannesburg;ULP 95;22.27;19.73;22.49;94.99;65.99;89.99;29.49;33.99;16.50;143.3;32.9;
2024/02/01;Limpopo;Polokwane;ULP 95;22.47;19.87;22.99;96.99;67.99;91.99;29.99;34.49;14.50;143.3;32.9;
2024/02/01;Western Cape;Cape Town;ULP 95;22.27;19.73;23.49;98.99;66.99;92.99;30.49;36.49;19.00;143.3;32.9;
2024/02/01;KwaZulu-Natal;Durban;ULP 95;22.27;19.73;21.99;93.99;64.99;88.99;29.99;34.49;17.50;143.3;32.9;
2024/03/01;Gauteng;Johannesburg;ULP 95;23.39;20.75;22.49;95.99;66.99;90.99;29.99;34.49;17.00;144.1;33.5;
2024/03/01;Limpopo;Polokwane;ULP 95;23.60;20.89;22.99;97.99;68.99;92.99;30.49;34.99;15.00;144.1;33.5;
2024/03/01;Western Cape;Cape Town;ULP 95;23.39;20.75;23.49;99.99;67.99;93.99;30.99;36.99;19.00;144.1;33.5;
2024/03/01;KwaZulu-Natal;Durban;ULP 95;23.39;20.75;21.99;94.99;65.99;89.99;30.49;34.99;17.50;144.1;33.5;
2024/04/01;Gauteng;Johannesburg;ULP 95;24.12;21.40;22.49;95.99;67.99;91.99;30.49;34.99;17.00;144.9;33.5;
2024/04/01;Limpopo;Polokwane;ULP 95;24.33;21.54;22.99;97.99;69.99;93.99;30.99;35.49;15.00;144.9;33.5;
2024/04/01;Western Cape;Cape Town;ULP 95;24.12;21.40;23.49;99.99;68.99;94.99;31.49;37.49;19.50;144.9;33.5;
2024/04/01;KwaZulu-Natal;Durban;ULP 95;24.12;21.40;21.99;94.99;66.99;90.99;30.99;35.49;18.00;144.9;33.5;
